01,ТСБ Благоевград
02,ТСБ Бургас
03,ТСБ Варна
04,ТСБ Велико Търново
05,ТСБ Видин
06,ТСБ Враца
07,ТСБ Габрово
08,ТСБ Кърджали
09,ТСБ Кюстендил
10,ТСБ Ловеч
11,ТСБ Монтана
12,ТСБ Пазарджик
13,ТСБ Перник
14,ТСБ Плевен
15,ТСБ Пловдив
16,ТСБ Разград
17,ТСБ Русе
18,ТСБ Силистра
19,ТСБ Сливен
20,ТСБ Смолян
21,СТСБ София-град
22,ТСБ София-окръг
23,ТСБ Стара Загора
24,ТСБ Добрич
25,ТСБ Търговище
26,ТСБ Хасково
27,ТСБ Шумен
28,ТСБ Ямбол
