BGS01-03,36227,Карагеоргиево,,2
BGS01-04,36381,Караново,,2
BGS01-06,46440,Малка поляна,,660
BGS01-07,49477,Мъглен,,2
BGS01-08,56321,Пещерско,,2
BGS01-09,56438,Пирне,,2
BGS01-10,57426,Поляново,,660
BGS01-13,72727,Тополица,,2
BGS01-14,80813,Черна могила,,660
BGS01-15,81102,Черноград,,2
BGS01-16,81640,Чукарка,,2
BGS04-04,07332,Българово,,2
BGS04-05,23090,Драганово,,2
BGS04-07,32425,Изворище,,2
BGS04-09,47202,Маринка,,2
BGS04-10,61145,Равнец,,2
BGS04-11,63183,Рудник,,2
BGS04-12,72151,Твърдица,,2
BGS04-13,81164,Черно море,,2
BGS04-15,32367,Извор,,1678
BGS06-05,20273,Дебелт,,2
BGS06-08,23604,Драчево,,2
BGS08-01,11096,Винарско,,2
BGS08-04,40381,Кръстина,,2
BGS08-08,63478,Русокастро,,2
BGS08-09,65783,Свобода,,2
BGS08-10,73211,Трояново,,2
BGS08-12,80916,Черни връх,,2
BGS09-09,23306,Драгово,,660
BGS09-10,27169,Екзарх Антимово,,2
BGS09-14,32809,Искра,,2
BGS09-15,37201,Кликач,,2
BGS09-16,40021,Крумово градище,,2
BGS09-19,51202,Невестино,,2
BGS09-23,67920,Соколово,,660
BGS09-26,77089,Хаджиите,,660
BGS12-07,30483,Звездец,,2
BGS13-01,00878,Ахтопол,,2
BGS13-08,44094,Лозенец,,2
BGS15-02,11538,Свети Влас,,2
BGS15-03,18469,Гюльовца,,2
BGS15-04,39164,Кошарица,,2
BGS15-05,53045,Обзор,,2
BGS15-06,53822,Оризаре,,2
BGS15-08,61056,Равда,,2
BGS15-09,73571,Тънково,,2
BGS17-02,00833,Ахелой,,2
BGS17-03,02810,Бата,,2
BGS17-04,14057,Габерово,,2
BGS17-05,16064,Горица,,2
BGS17-06,18229,Гълъбец,,2
BGS17-07,24253,Дъбник,,2
BGS17-08,27440,Белодол,,660
BGS17-09,35033,Каблешково,,2
BGS17-15,57790,Порой,,2
BGS17-16,69746,Страцин,,2
BGS18-01,04056,Билка,,2
BGS18-02,11363,Вишна,,660
BGS18-03,12303,Вресово,,2
BGS18-04,15967,Подгорец,,2
BGS18-05,21333,Добра поляна,,2
BGS18-06,21614,Добромир,,2
BGS18-07,23755,Дропла,,660
BGS18-08,24699,Дъскотна,,2
BGS18-09,30234,Заимчево,,2
BGS18-10,30243,Зайчар,,2
BGS18-12,36213,Каравельово,,2
BGS18-13,43880,Листец,,660
BGS18-14,44690,Люляково,,2
BGS18-15,46930,Припек,,2
BGS18-16,49254,Мрежичко,,2
BGS18-17,51055,Преображенци,,2
BGS18-18,56647,Планиница,,2
BGS18-19,58640,Просеник,,2
BGS18-20,61666,Разбойна,,2
BGS18-21,62548,Речица,,2
BGS18-22,62904,Рожден,,2
BGS18-24,63375,Рупча,,2
BGS18-25,63598,Ръжица,,2
BGS18-26,66706,Скалак,,2
BGS18-27,67725,Снежа,,660
BGS18-28,67767,Снягово,,2
BGS18-29,67876,Соколец,,2
BGS18-30,68401,Средна махала,,660
BGS18-31,69990,Струя,,2
BGS18-32,72864,Топчийско,,2
BGS18-33,73287,Трънак,,2
BGS18-34,80296,Сини рид,,660
BGS18-35,80563,Череша,,2
BGS18-36,83154,Шиварово,,660
BGS18-37,87093,Ябълчево,,2
BGS18-38,87638,Ясеново,,660
BGS21-05,30822,Зидарово,,2
BGS21-08,40124,Крушевец,,2
BGS21-11,61042,Равадиново,,2
BGS21-12,61114,Равна гора,,2
BGS21-13,63015,Атия,,2
BGS21-14,63029,Росен,,2
BGS21-15,81178,Черноморец,,2
BGS23-04,10327,Везенково,,660
BGS23-05,12591,Вълчин,,660
BGS23-06,17909,Грозден,,2
BGS23-10,37215,Климаш,,660
BGS23-11,38889,Костен,,660
BGS23-12,44029,Лозарево,,2
BGS23-13,47096,Манолич,,1847
BGS23-15,56959,Подвис,,2
BGS23-16,58325,Прилеп,,2
BGS23-19,67115,Славянци,,2
BGS23-20,70514,Съединение,,2
BGS23-23,81006,Черница,,2
BGS23-24,81582,Чубра,,2
BGS27-01,52129,Ново Паничарево,,2
BGS27-03,87655,Ясна поляна,,2
BGS27-04,37023,Китен,,49
BGS27-05,10731,Веселие,,41
BLG01-02,21498,Добринище,,2
BLG01-07,76090,Филипово,,2
BLG02-01,02107,Бабяк,,2
BLG02-04,20064,Дагоново,,2
BLG02-06,39270,Краище,,2
BLG02-11,77596,Горно Краище,,2
BLG03-01,00134,Изгрев,,2
BLG03-02,03664,Бело поле,,2
BLG03-17,55107,Падеш,,2
BLG03-18,57159,Покровник,,2
BLG03-19,62699,Рилци,,2
BLG03-21,68792,Логодаж,,2
BLG03-22,78464,Церово,,2
BLG11-01,02600,Баничан,,2
BLG11-02,05606,Борово,,2
BLG11-03,06306,Брезница,,2
BLG11-04,07003,Буково,,2
BLG11-05,17347,Господинци,,2
BLG11-07,38666,Корница,,2
BLG11-08,44416,Лъжница,,2
BLG11-09,49432,Мусомища,,2
BLG13-02,16763,Горно Дряново,,2
BLG13-03,20331,Дебрен,,2
BLG13-04,22616,Долно Дряново,,2
BLG13-05,24267,Дъбница,,2
BLG13-09,53326,Огняново,,2
BLG13-11,54184,Осиково,,2
BLG13-12,62640,Рибново,,2
BLG13-14,77222,Хвостяне,,2
BLG28-01,16136,Горна Брезница,,2
BLG28-02,22068,Долна Градешница,,2
BLG28-05,67369,Сливница,,2
BLG33-02,03294,Беласица,,2
BLG33-06,14091,Габрене,,2
BLG33-10,22246,Долна Рибница,,1301
BLG33-13,23563,Дрангово,,2
BLG33-16,35081,Кавракирово,,2
BLG33-19,37349,Ключ,,2
BLG33-20,37989,Коларово,,2
BLG33-23,40539,Кулата,,2
BLG33-24,40912,Кърналово,,2
BLG33-25,47189,Марикостиново,,2
BLG33-29,48578,Михнево,,2
BLG33-30,49312,Рупите,,2
BLG33-33,58390,Генерал Тодоров,,2
BLG33-34,59077,Първомай,,2
BLG33-37,65293,Самуилово,,2
BLG33-39,66901,Скрът,,2
BLG33-40,69119,Старчево,,2
BLG33-41,69941,Струмешница,,1301
BLG33-42,72744,Тополница,,2
BLG33-46,87134,Яворница,,2
BLG37-01,02693,Баня,,2
BLG37-02,02960,Бачево,,2
BLG37-03,15326,Годлево,,2
BLG37-04,16754,Горно Драглище,,2
BLG37-05,21748,Добърско,,2
BLG37-06,22602,Долно Драглище,,2
BLG37-07,27293,Елешница,,164
BLG40-04,12471,Вълково,,770
BLG40-08,20105,Дамяница,,2
