94015,1,"Курортен комплекс ""Златни пясъци""","(VAR06) общ. Варна, обл. Варна",,222,1
94023,2,ВЕЦ Долна Бешовица на р. Искър,"(22023) с. Долна Бешовица, общ. Роман, обл. Враца",,243,2
94037,2,Узунджата,"(58356) гр. Приморско, общ. Приморско, обл. Бургас",,257,3
94040,1,"Курортен комплекс ""Св. св. Константин и Елена""","(VAR06) общ. Варна, обл. Варна",,222,4
94054,1,"Ваканционно селище ""Елените""","(BGS15) общ. Несебър, обл. Бургас",,222,5
94085,1,"Курортен комплекс ""Международен младежки център - Приморско""","(BGS27) общ. Приморско, обл. Бургас",,222,6
94112,2,Цигов чарк,"(62004) гр. Ракитово, общ. Ракитово, обл. Пазарджик",,254,7
94126,2,ДЗС,"(63427) гр. Русе, общ. Русе, обл. Русе",,246,8
94130,2,Стълпище,"(47977) с. Мечка, общ. Иваново, обл. Русе",,247,9
94143,2,Кария,"(83017) гр. Шабла, общ. Шабла, обл. Добрич",,294,10
94157,2,Червенка,"(81178) гр. Черноморец, общ. Созопол, обл. Бургас",,256,11
94160,2,Гладно поле,"(40227) с. Крушовица, общ. Елин Пелин, обл. София",,262,12
94174,2,"Вилна зона ""Крушов баир""","(37798) гр. Козлодуй, общ. Козлодуй, обл. Враца",,259,13
94188,2,Пети километър,"(07079) гр. Бургас, общ. Бургас, обл. Бургас",,271,14
94191,2,Хайдушки поляни,"(SML31) общ. Смолян, обл. Смолян",,600,15
94201,2,Кринчовица,"(87374) гр. Ямбол, общ. Ямбол, обл. Ямбол",,267,16
94215,2,Черешево,"(PDV39) общ. Кричим, обл. Пловдив",,619,17
94229,2,Перчемлията,"(VAR06) общ. Варна, обл. Варна",,286,18
94232,2,Долна Трака,"(VAR06) общ. Варна, обл. Варна",,286,19
94246,2,Припек,"(VAR06) общ. Варна, обл. Варна",,286,20
94256,2,Орехчето,"(VAR06) общ. Варна, обл. Варна",,286,21
94263,2,Черешова градина,"(VAR06) общ. Варна, обл. Варна",,286,22
94277,2,Крушова градина,"(VAR06) общ. Варна, обл. Варна",,286,23
94280,2,Панорама,"(VAR06) общ. Варна, обл. Варна",,286,24
94294,2,Балъм дере,"(VAR06) общ. Варна, обл. Варна",,261,25
94304,2,Ментеше,"(VAR06) общ. Варна, обл. Варна",,261,26
94318,2,Кочмар,"(VAR06) общ. Варна, обл. Варна",,261,27
94321,2,Планова,"(VAR06) общ. Варна, обл. Варна",,261,28
94335,2,Пчелина,"(VAR06) общ. Варна, обл. Варна",,261,29
94349,2,Сълзица,"(VAR06) общ. Варна, обл. Варна",,261,30
94352,2,Сотира,"(VAR06) общ. Варна, обл. Варна",,261,31
94366,2,Боровец-север,"(VAR06) общ. Варна, обл. Варна",,261,32
94371,2,Боровец-юг,"(VAR06) общ. Варна, обл. Варна",,261,33
94383,2,Ракитника,"(VAR06) общ. Варна, обл. Варна",,261,34
94397,2,Прибой,"(VAR06) общ. Варна, обл. Варна",,261,35
94407,2,Зеленика-част,"(VAR06) общ. Варна, обл. Варна",,261,36
94410,2,Летище,"(VAR06) общ. Варна, обл. Варна",,261,37
94424,2,Под селото,"(VAR06) общ. Варна, обл. Варна",,261,38
94438,2,Акчелар,"(VAR06) общ. Варна, обл. Варна",,261,39
94441,2,Телевизионна кула,"(VAR06) общ. Варна, обл. Варна",,261,40
94455,2,Горна трака,"(VAR06) общ. Варна, обл. Варна",,261,41
94469,2,Добрева чешма,"(VAR06) общ. Варна, обл. Варна",,261,42
94472,2,Виница-север,"(VAR06) общ. Варна, обл. Варна",,261,43
94486,2,Ваялар,"(VAR06) общ. Варна, обл. Варна",,261,44
94497,2,Траката-разширение,"(VAR06) общ. Варна, обл. Варна",,261,45
94502,2,Фатрико дере,"(VAR06) общ. Варна, обл. Варна",,261,46
94513,2,Дели сава,"(VAR06) общ. Варна, обл. Варна",,261,47
94527,2,Манастирски рид,"(VAR06) общ. Варна, обл. Варна",,261,48
94530,2,Бялата чешма и Дъбравата,"(VAR06) общ. Варна, обл. Варна",,261,49
94544,2,Ален мак,"(VAR06) общ. Варна, обл. Варна",,261,50
94558,2,XI шахта,"(07079) гр. Бургас, общ. Бургас, обл. Бургас",,268,51
94561,2,Острицата,"(07079) гр. Бургас, общ. Бургас, обл. Бургас",,1494,52
94575,2,Сухото дере,"(32425) с. Изворище, общ. Бургас, обл. Бургас",,268,53
94589,2,Каптажа,"(32425) с. Изворище, общ. Бургас, обл. Бургас",,268,54
94592,2,Лозницата,"(07332) гр. Българово, общ. Бургас, обл. Бургас",,268,55
94602,2,Бадемите,"(63183) с. Рудник, общ. Бургас, обл. Бургас",,268,56
94616,2,Пръстницата,"(06776) с. Брястовец, общ. Бургас, обл. Бургас",,268,57
94628,2,Брястите,"(06776) с. Брястовец, общ. Бургас, обл. Бургас",,268,58
94633,2,Лозята,"(06776) с. Брястовец, общ. Бургас, обл. Бургас",,268,59
94647,2,Батака,"(72151) с. Твърдица, общ. Бургас, обл. Бургас",,268,60
94650,2,Върбицата,"(72151) с. Твърдица, общ. Бургас, обл. Бургас",,268,61
94664,2,Заслона,"(21141) с. Димчево, общ. Бургас, обл. Бургас",,268,62
94678,2,Край канала,"(21141) с. Димчево, общ. Бургас, обл. Бургас",,268,63
