ekatte,t_v_m,name,oblast,obstina,kmetstvo,kind,category,altitude,document,tsb,abc
46070,?.,???????,HKV,HKV30,HKV30-26,3,7,4,1873,26,2881
46084,??.,?????????,HKV,HKV18,HKV18-00,1,5,3,1873,26,2882
46098,?.,?????????,SZR,SZR31,SZR31-24,3,6,3,1873,23,2883
46108,?.,??????????,KNL,KNL29,KNL29-00,3,8,6,1873,09,2884
46111,?.,????? ???????,VID,VID09,VID09-00,3,7,3,1873,05,2885
46125,?.,??????,VTR,VTR13,VTR13-11,3,6,5,1873,04,2886
46139,?.,??????????,KRZ,KRZ16,KRZ16-26,3,8,5,1873,08,2887
46156,?.,???,KRZ,KRZ02,KRZ02-07,3,8,6,1873,08,2888
46190,?.,?????????????,TGV,TGV35,TGV35-20,3,5,4,1873,25,2889
46214,?.,?????????,KRZ,KRZ16,KRZ16-18,3,7,5,1873,08,2890
46228,?.,??????,TGV,TGV35,TGV35-00,3,7,4,1873,25,2891
46231,?.,????????,SFO,SFO10,SFO10-00,3,7,6,1873,22,2892
46245,?.,??????,VID,VID25,VID25-00,3,5,3,1873,05,2893
46259,?.,???? ????????,SFO,SFO06,SFO06-00,3,8,6,1873,22,2894
46262,?.,???? ????,KNL,KNL04,KNL04-00,3,7,6,1873,09,2895
46276,?.,???? ??????,SFO,SFO39,SFO39-15,3,6,8,1873,22,2896
46286,?.,??????,SML,SML38,SML38-00,3,7,7,1873,20,2897
46293,?.,??????,HKV,HKV34,HKV34-21,3,5,3,1873,26,2898
46303,?.,????????,JAM,JAM22,JAM22-00,3,7,3,1873,28,2899
46317,?.,???? ?????????,KNL,KNL04,KNL04-00,3,8,6,1873,09,2900
46320,?.,???? ????????,VID,VID16,VID16-00,3,8,3,1873,05,2901
46334,?.,???? ?????,DOB,DOB27,DOB27-00,3,8,3,1873,24,2902
46348,?.,??????,BGS,BGS06,BGS06-00,3,8,3,1873,02,2903
46351,?.,??????,DOB,DOB12,DOB12-00,3,7,4,1873,24,2904
46365,?.,??????,GAB,GAB05,GAB05-00,3,8,6,1873,07,2905
46396,?.,????????,LOV,LOV18,LOV18-19,3,6,5,1873,10,2907
46406,?.,????? ????,SML,SML02,SML02-00,3,7,7,1873,20,2908
46417,?.,????? ?????,SZR,SZR31,SZR31-00,3,7,5,1873,23,2909
46437,?.,????? ???????,LOV,LOV33,LOV33-00,3,7,5,1873,10,2910
46440,?.,????? ??????,BGS,BGS01,BGS01-06,3,7,2,1873,02,2911
46454,?.,????? ????????,DOB,DOB15,DOB15-00,3,7,4,1873,24,2912
46468,?.,????? ????????,TGV,TGV02,TGV02-00,3,8,5,1873,25,2913
46471,?.,????? ?????,KRZ,KRZ15,KRZ15-05,3,8,5,1873,08,2914
46485,?.,????? ?????????,GAB,GAB12,GAB12-00,3,8,6,1873,07,2915
46499,?.,????? ?????,HKV,HKV18,HKV18-00,3,8,5,1873,26,2916
46509,?.,????? ??????,GAB,GAB29,GAB29-00,3,7,5,1873,07,2917
49641,?.,????? ?????,SFO,SFO18,SFO18-05,3,7,5,1873,22,2918
46512,?.,????? ?????????,GAB,GAB35,GAB35-00,3,8,6,1873,07,2919
46526,?.,????? ?????,BLG,BLG40,BLG40-00,3,8,7,1873,01,2920
46532,?.,????? ??????,VTR,VTR04,VTR04-00,3,7,4,1873,04,2921
46543,?.,????? ???????,HKV,HKV09,HKV09-00,3,7,3,1873,26,2922
46557,?.,????? ???????,HKV,HKV18,HKV18-00,3,8,4,1873,26,2923
46560,?.,????? ???????,RSE,RSE33,RSE33-06,3,6,2,1873,17,2924
46574,?.,????? ???????,HKV,HKV17,HKV17-06,3,6,4,1873,26,2925
46588,?.,????? ???????,SZR,SZR04,SZR04-00,3,8,5,1873,23,2926
50512,?.,????? ???????,RAZ,RAZ14,RAZ14-23,3,7,4,1873,16,2927
46591,?.,????? ???????,SZR,SZR31,SZR31-00,3,7,3,1873,23,2928
46601,?.,????? ????????,KRZ,KRZ15,KRZ15-26,3,8,5,1873,08,2929
46615,?.,????? ????????,JAM,JAM07,JAM07-14,3,8,4,1873,28,2930
46629,?.,????? ???????,SML,SML02,SML02-00,3,8,7,1873,20,2931
46632,?.,????? ??????,HKV,HKV18,HKV18-00,3,8,3,1873,26,2932
46646,?.,????? ????,SLV,SLV11,SLV11-09,3,6,5,1873,19,2933
46658,?.,????? ???????,SZR,SZR36,SZR36-00,3,7,4,1873,23,2934
46663,??.,????? ???????,BGS,BGS12,BGS12-00,1,4,5,1873,02,2935
46694,?.,????? ????????,SLV,SLV20,SLV20-00,3,7,4,1873,19,2936
46704,?.,????? ???????,JAM,JAM03,JAM03-00,3,7,4,1873,28,2937
46680,?.,??????,KRZ,KRZ14,KRZ14-24,3,7,5,1873,08,2938
46721,?.,???? ??????,SOF,SOF46,SOF46-34,3,6,6,1873,21,2939
46749,?.,???? ??????,PAZ,PAZ19,PAZ19-15,3,4,4,1873,12,2940
46752,?.,???? ???????,PDV,PDV37,PDV37-00,3,7,5,1873,15,2941
46766,?.,???? ??????,SFO,SFO16,SFO16-00,3,8,7,1873,22,2942
46807,?.,???? ??????,VRC,VRC10,VRC10-00,3,8,4,1873,06,2943
46824,?.,???? ????,KNL,KNL04,KNL04-00,3,6,6,1873,09,2944
46735,?.,??????????,TGV,TGV02,TGV02-00,3,8,5,1873,25,2945
46773,?.,???????,SHU,SHU10,SHU10-08,3,7,4,1873,27,2946
46783,?.,???????,JAM,JAM25,JAM25-23,3,6,3,1873,28,2947
46797,?.,??????????,JAM,JAM07,JAM07-12,3,7,3,1873,28,2948
46810,?.,???????,VRC,VRC05,VRC05-02,3,5,3,1873,06,2949
49655,?.,??????,GAB,GAB05,GAB05-00,3,8,5,1873,07,2950
46841,?.,???????,PVN,PVN16,PVN16-09,3,5,2,1873,14,2951
46855,?.,????????,VTR,VTR04,VTR04-00,3,8,5,1873,04,2952
46869,?.,????????,GAB,GAB35,GAB35-00,3,8,6,1873,07,2953
46872,?.,????? ???????,KRZ,KRZ15,KRZ15-27,3,6,6,1873,08,2954
49998,?.,????? ???,SZR,SZR04,SZR04-00,3,8,4,1873,23,2955
46886,?.,????? ?????,LOV,LOV38,LOV38-00,3,7,6,1873,10,2956
46899,?.,????? ?????,HKV,HKV30,HKV30-27,3,6,4,1873,26,2957
46904,?.,????? ????????,JAM,JAM07,JAM07-13,3,6,4,1873,28,2958
46913,?.,????? ???????,RAZ,RAZ14,RAZ14-14,3,7,4,1873,16,2959
46927,?.,????? ?????????,SLS,SLS07,SLS07-00,3,7,2,1873,18,2960
46944,?.,????? ??????,PDV,PDV33,PDV33-04,3,7,4,1873,15,2961
46958,?.,?????????,JAM,JAM03,JAM03-11,3,7,4,1873,28,2962
46961,?.,?????????? ????,SFO,SFO34,SFO34-00,3,7,5,1873,22,2963
46975,?.,????????,VAR,VAR24,VAR24-12,3,7,2,1873,03,2964
46989,?.,????????,PDV,PDV15,PDV15-00,3,8,8,1873,15,2965
46992,?.,????????,HKV,HKV34,HKV34-00,3,7,3,1873,26,2966
47007,?.,???????????,TGV,TGV24,TGV24-00,3,8,4,1873,25,2967
